"Season","Date","HomeTeam","AwayTeam","FTR","FTHG","FTAG","HS","AS","HST","AST","HC","AC","HF","AF","HY","AY","cloud_cover","sunshine","global_radiation","max_temp","mean_temp","min_temp","precipitation","pressure","snow_depth"
"2000-2001",2000-08-19,"Charlton","Man City","H",4,0,17,8,14,4,6,6,13,12,1,2,6,10.7,244,21.7,18.7,14.2,0,101030,0
"2000-2001",2000-08-19,"Chelsea","West Ham","H",4,2,17,12,10,5,7,7,19,14,1,2,6,10.7,244,21.7,18.7,14.2,0,101030,0
"2000-2001",2000-08-19,"Tottenham","Ipswich","H",3,1,20,15,6,5,3,4,14,13,0,0,6,10.7,244,21.7,18.7,14.2,0,101030,0
"2000-2001",2000-08-21,"Arsenal","Liverpool","H",2,0,17,7,12,4,10,11,25,20,2,4,2,11.6,251,22.7,16.2,10.3,0,101440,0
"2000-2001",2000-08-23,"West Ham","Leicester","A",0,1,17,4,12,2,11,5,16,14,3,3,1,13.1,264,27,18.6,13.3,0,102320,0
"2000-2001",2000-08-26,"Arsenal","Charlton","H",5,3,18,7,9,4,8,3,12,15,0,1,6,0,60,21.8,19,18.3,3.8,100990,0
"2000-2001",2000-08-26,"West Ham","Man United","D",2,2,17,8,8,5,7,5,12,9,1,0,6,0,60,21.8,19,18.3,3.8,100990,0
"2000-2001",2000-09-05,"Tottenham","Everton","H",3,2,11,11,7,6,7,5,11,10,1,2,7,1.6,95,20.7,15.6,10.9,0.4,102030,0
"2000-2001",2000-09-06,"Charlton","Southampton","D",1,1,8,11,6,3,10,14,14,16,3,3,6,4.8,141,20.3,17.4,14.1,0.8,101140,0
"2000-2001",2000-09-06,"Chelsea","Arsenal","D",2,2,12,13,5,5,7,6,16,22,3,1,6,4.8,141,20.3,17.4,14.1,0.8,101140,0
"2000-2001",2000-09-11,"Tottenham","West Ham","H",1,0,15,11,7,5,11,3,14,13,1,2,4,9.7,187,24,21.6,15.6,0,101440,0
"2000-2001",2000-09-16,"Arsenal","Coventry","H",2,1,18,6,13,2,8,4,5,13,1,2,7,0.9,72,20.6,15.8,13.4,0,101130,0
"2000-2001",2000-09-16,"Charlton","Tottenham","H",1,0,9,10,5,5,7,5,8,10,0,0,7,0.9,72,20.6,15.8,13.4,0,101130,0
